sentence1	sentence2	gold_label
자전거를 탄 사람들이 교차로에서 기다리고 있다.	자전거를 탄 한 사람 이상이 교통법을 준수하고 있다.	entailment
자전거를 탄 사람들이 교차로에서 기다리고 있다.	사람들은 산악자전거를 타고 있다.	neutral
자전거를 탄 사람들이 교차로에서 기다리고 있다.	자전거를 타는 사람들이 있다.	entailment
자전거를 탄 사람들이 교차로에서 기다리고 있다.	자전거를 탄 사람들은 교차로를 통해 속도를 낸다.	contradiction
빨간 셔츠를 입은 남자가 맨 위에 채워진 부착된 카트 위에 서 있는 다른 남자를 보고 있다.	카트가 비어 있습니다.	contradiction
빨간 셔츠를 입은 남자가 맨 위에 채워진 부착된 카트 위에 서 있는 다른 남자를 보고 있다.	한 남자가 다른 남자에게 피기백 놀이기구를 주고 있다.	contradiction
빨간 셔츠를 입은 남자가 맨 위에 채워진 부착된 카트 위에 서 있는 다른 남자를 보고 있다.	수레에는 물건들이 가득하다.	entailment
빨간 셔츠를 입은 남자가 맨 위에 채워진 부착된 카트 위에 서 있는 다른 남자를 보고 있다.	한 남자가 벤치 밑에서 자고 있다.	contradiction
빨간 셔츠를 입은 남자가 맨 위에 채워진 부착된 카트 위에 서 있는 다른 남자를 보고 있다.	남자는 다른 남자를 본다.	entailment
빨간 셔츠를 입은 남자가 맨 위에 채워진 부착된 카트 위에 서 있는 다른 남자를 보고 있다.	농산물 판매업자는 보건부 직원에 의해 감시된다.	neutral
빨간 셔츠를 입은 남자가 맨 위에 채워진 부착된 카트 위에 서 있는 다른 남자를 보고 있다.	누군가는 물건이 가득 찬 수레 위에 있고, 다른 사람은 관찰한다.	entailment
빨간 셔츠를 입은 남자가 맨 위에 채워진 부착된 카트 위에 서 있는 다른 남자를 보고 있다.	남자가 여자를 지켜보고 있다.	contradiction
빨간 셔츠를 입은 남자가 맨 위에 채워진 부착된 카트 위에 서 있는 다른 남자를 보고 있다.	한 상인과 그의 조수는 그들의 카트에 얼마나 많은 제품이 있는지 결정하려고 노력하고 있다.	neutral
빨간 셔츠를 입은 남자가 맨 위에 채워진 부착된 카트 위에 서 있는 다른 남자를 보고 있다.	수레는 석탄으로 가득 차 있다.	neutral
빨간 셔츠를 입은 남자가 맨 위에 채워진 부착된 카트 위에 서 있는 다른 남자를 보고 있다.	한 남자가 카트 위에 서 있다.	entailment
빨간 셔츠를 입은 남자가 맨 위에 채워진 부착된 카트 위에 서 있는 다른 남자를 보고 있다.	카트가 상부로 충진된다.	entailment
빨간 셔츠를 입은 남자가 맨 위에 채워진 부착된 카트 위에 서 있는 다른 남자를 보고 있다.	남자들이 밖에 있다.	neutral
빨간 셔츠를 입은 남자가 맨 위에 채워진 부착된 카트 위에 서 있는 다른 남자를 보고 있다.	사람은 문어를 먹는다.	contradiction
빨간 셔츠를 입은 남자가 맨 위에 채워진 부착된 카트 위에 서 있는 다른 남자를 보고 있다.	한 남자가 식료품이 가득 찬 수레 위에 서 있다.	neutral
한 소년이 여자처럼 생긴 분수대에서 술을 마시고 있다.	수컷이 물을 마시고 있다.	entailment
한 소년이 여자처럼 생긴 분수대에서 술을 마시고 있다.	조각가가 여자친구처럼 생긴 분수대에서 술을 가져간다.	neutral
한 소년이 여자처럼 생긴 분수대에서 술을 마시고 있다.	한 남자가 잔에 담긴 레모네이드를 마시고 있다.	contradiction
세 명의 폭주족이 시내에 정차한다.	시내에 정차하다	neutral
세 명의 폭주족이 시내에 정차한다.	자전거 타는 사람들은 마을에 들른다	entailment
세 명의 폭주족이 시내에 정차한다.	한 마을이 폭주족 세 명이 도착하는 것을 목격했다.	entailment
세 명의 폭주족이 시내에 정차한다.	신발 폭주족들이 속도를 늦추고 있다	neutral
세 명의 폭주족이 시내에 정차한다.	폭주족들이 할리의 차를 타고 있다.	neutral
세 명의 폭주족이 시내에 정차한다.	폭주족 세 명이 시속 100마일로 달리고 있다	contradiction
세 명의 폭주족이 시내에 정차한다.	폭주족들은 물을 들이마신다	contradiction
세 명의 폭주족이 시내에 정차한다.	자전거 타는 사람들은 가스를 마시기 위해 멈춘다	entailment
세 명의 폭주족이 시내에 정차한다.	세 명의 자전거 타는 사람들이 무리를 지어 타고 있다.	neutral
세 명의 폭주족이 시내에 정차한다.	매우 성난 개가 있다.	contradiction
세 명의 폭주족이 시내에 정차한다.	세 명의 폭주족들이 마을에서 휴식을 취하고 있다.	neutral
세 명의 폭주족이 시내에 정차한다.	폭주족들이 마을에 있다.	entailment
세 명의 폭주족이 시내에 정차한다.	한 무리의 폭주족들이 거리에 있다.	entailment
세 명의 폭주족이 시내에 정차한다.	폭주족들은 마을에 멈추지 않았다.	contradiction
세 명의 폭주족이 시내에 정차한다.	다섯 명의 폭주족들이 도로를 달리고 있다.	contradiction
트럭에 부착된 트레일러에 붓을 싣는 두 사람.	남자가 카누를 물가로 옮기고 있다.	contradiction
트럭에 부착된 트레일러에 붓을 싣는 두 사람.	두어 사람이 트럭에 부착된 트레일러에 붓을 싣고 있다.	entailment
트럭에 부착된 트레일러에 붓을 싣는 두 사람.	트럭에 부착된 트레일러에 붓을 싣는 두 사람이 캠핑을 가서 불태울 수 있도록 했다.	neutral
수염을 기른 남자, 회색 소매와 작업용 장갑이 달린 빨간 셔츠를 입고 밧줄을 잡아당기고 있다.	수염을 기른 남자가 밧줄을 당긴다	entailment
수염을 기른 남자, 회색 소매와 작업용 장갑이 달린 빨간 셔츠를 입고 밧줄을 잡아당기고 있다.	수염을 기른 남자가 직장에서 밧줄을 당기고 있다.	neutral
수염을 기른 남자, 회색 소매와 작업용 장갑이 달린 빨간 셔츠를 입고 밧줄을 잡아당기고 있다.	남자가 밧줄을 잡아당긴다.	entailment
수염을 기른 남자, 회색 소매와 작업용 장갑이 달린 빨간 셔츠를 입고 밧줄을 잡아당기고 있다.	그 남자는 장비를 옮기려고 일을 하고 있었다.	neutral
수염을 기른 남자, 회색 소매와 작업용 장갑이 달린 빨간 셔츠를 입고 밧줄을 잡아당기고 있다.	남자가 턱수염을 뽑다	contradiction
수염을 기른 남자, 회색 소매와 작업용 장갑이 달린 빨간 셔츠를 입고 밧줄을 잡아당기고 있다.	턱수염을 기른 남자가 이빨로 차를 끌고 있다.	contradiction
수염을 기른 남자, 회색 소매와 작업용 장갑이 달린 빨간 셔츠를 입고 밧줄을 잡아당기고 있다.	한 남자가 줄타기 대회에 참가하다	neutral
수염을 기른 남자, 회색 소매와 작업용 장갑이 달린 빨간 셔츠를 입고 밧줄을 잡아당기고 있다.	한 남자가 호수에서 차를 끌어내려 하고 있다.	neutral
수염을 기른 남자, 회색 소매와 작업용 장갑이 달린 빨간 셔츠를 입고 밧줄을 잡아당기고 있다.	남자는 깨끗한 면도를 하고 있었다.	contradiction
수염을 기른 남자, 회색 소매와 작업용 장갑이 달린 빨간 셔츠를 입고 밧줄을 잡아당기고 있다.	수염을 기른 남자가 밧줄을 잡아당기고 있다.	entailment
수염을 기른 남자, 회색 소매와 작업용 장갑이 달린 빨간 셔츠를 입고 밧줄을 잡아당기고 있다.	남자가 썰매를 뒤로 끌고 가고 있다.	neutral
수염을 기른 남자, 회색 소매와 작업용 장갑이 달린 빨간 셔츠를 입고 밧줄을 잡아당기고 있다.	수영복을 입은 남자가 밧줄을 휘두른다.	contradiction
수염을 기른 남자, 회색 소매와 작업용 장갑이 달린 빨간 셔츠를 입고 밧줄을 잡아당기고 있다.	남자가 검은 셔츠를 입고 있다	contradiction
수염을 기른 남자, 회색 소매와 작업용 장갑이 달린 빨간 셔츠를 입고 밧줄을 잡아당기고 있다.	남자가 밧줄을 잡아당기고 있다.	entailment
수염을 기른 남자, 회색 소매와 작업용 장갑이 달린 빨간 셔츠를 입고 밧줄을 잡아당기고 있다.	남자는 수염을 기를 수 있다.	entailment
얼굴 털에 빨갛고 회색 셔츠를 입은 남자가 밧줄을 잡아당겼다.	한 남자가 벌거벗은 채 침대에 누워 있다.	contradiction
얼굴 털에 빨갛고 회색 셔츠를 입은 남자가 밧줄을 잡아당겼다.	남자가 빨간색과 회색 셔츠를 입고 있다.	neutral
얼굴 털에 빨갛고 회색 셔츠를 입은 남자가 밧줄을 잡아당겼다.	남자는 얼굴 털이 있다.	entailment
녹색 두건에 파란색 셔츠를 입은 중년 동양 여성이 거대한 미소를 짓고 있다.	중년의 동양 여성이 V를 보고 있다	contradiction
녹색 두건에 파란색 셔츠를 입은 중년 동양 여성이 거대한 미소를 짓고 있다.	초록색 두건과 파란색 셔츠를 입은 중년 동양 여성이 거대한 미소를 짓고 있다.	entailment
녹색 두건에 파란색 셔츠를 입은 중년 동양 여성이 거대한 미소를 짓고 있다.	중년의 동양 여성은 매우 행복하다	neutral
파란색 상의와 녹색 두건을 쓴 아시아 여성이 다른 여성이 뒤에서 배를 노를 젓자 활짝 웃고 있다.	아시아 여성은 땅에서 돈을 발견했기 때문에 행복하다.	neutral
파란색 상의와 녹색 두건을 쓴 아시아 여성이 다른 여성이 뒤에서 배를 노를 젓자 활짝 웃고 있다.	다른 여자가 노를 젓는 동안 아시아 여성이 미소를 짓고 있다.	entailment
파란색 상의와 녹색 두건을 쓴 아시아 여성이 다른 여성이 뒤에서 배를 노를 젓자 활짝 웃고 있다.	아시아 여성이 개에게서 도망치고 있다.	contradiction
보트 작업자가 선을 고정합니다.	노동자가 보트에 뭔가를 하고 있다.	entailment
보트 작업자가 선을 고정합니다.	보트 노동자가 바다에서 수영을 하고 있다.	contradiction
보트 작업자가 선을 고정합니다.	그 보트 노동자는 선을 세우기 위해 열심히 일한다.	neutral
목걸이를 한 작은 소녀가 수영을 하고 있다.	목걸이를 한 작은 소녀가 수영장에서 수영을 하고 있다	neutral
목걸이를 한 작은 소녀가 수영을 하고 있다.	뚱뚱한 소녀가 가장자리에서 다이빙을 하고 있다	contradiction
목걸이를 한 작은 소녀가 수영을 하고 있다.	목걸이를 한 작은 소녀가 물속에 있다	entailment
스케이트보더가 수영장에서 스케이트를 탄다.	스케이트가 수영장에서 헤엄친다.	contradiction
스케이트보더가 수영장에서 스케이트를 탄다.	스케이트 선수가 수영장에 있다.	entailment
스케이트보더가 수영장에서 스케이트를 탄다.	스케이트 선수가 수영장 입술을 갈고 있다.	neutral
인도인이나 파키스탄인으로 보이는 한 커플이 물 옆 길을 걷고, 어머니는 기저귀를 차고 아이를 안고, 아버지는 인도주의 단체 '아이들을 구하라'의 로고가 적힌 담요에 싸여 있다.	한 남자가 유니세프 담요에 싸여 있다.	contradiction
인도인이나 파키스탄인으로 보이는 한 커플이 물 옆 길을 걷고, 어머니는 기저귀를 차고 아이를 안고, 아버지는 인도주의 단체 '아이들을 구하라'의 로고가 적힌 담요에 싸여 있다.	아이를 안고 있는 커플이 물을 따라 걷고 있다.	entailment
인도인이나 파키스탄인으로 보이는 한 커플이 물 옆 길을 걷고, 어머니는 기저귀를 차고 아이를 안고, 아버지는 인도주의 단체 '아이들을 구하라'의 로고가 적힌 담요에 싸여 있다.	인도 부부가 인도주의 단체와 함께 피난처를 찾고 있다.	neutral
아이를 안고 있는 여자가 있고, 아이 가방을 구한 남자와 함께 있다.	한 무리의 사람들이 추가 포즈를 취하고 있다.	entailment
아이를 안고 있는 여자가 있고, 아이 가방을 구한 남자와 함께 있다.	한 남자와 한 여자가 그들의 아들을 호킹하고 있다.	neutral
아이를 안고 있는 여자가 있고, 아이 가방을 구한 남자와 함께 있다.	한 남자가 비행기를 보고 있다.	contradiction
아기를 가진 가족, 아버지는 아이들을 구하는 표지판을 달고 있다.	세 명의 성인이 그려져 있다.	contradiction
아기를 가진 가족, 아버지는 아이들을 구하는 표지판을 달고 있다.	남자가 글씨가 적힌 옷을 입고 있다.	entailment
아기를 가진 가족, 아버지는 아이들을 구하는 표지판을 달고 있다.	여자가 아기를 안고 있다.	neutral
외국 가족이 물가의 흙길을 따라 걷고 있다.	그들은 자전거를 타고 있다	contradiction
외국 가족이 물가의 흙길을 따라 걷고 있다.	사람들이 호수 옆을 걷고 있다.	neutral
외국 가족이 물가의 흙길을 따라 걷고 있다.	한 외국인 사촌들이 개울가 옆 오솔길을 따라 하이킹을 한다.	neutral
외국 가족이 물가의 흙길을 따라 걷고 있다.	외국 가족이 물의 몸을 따라 흙길을 걷고 있다.	entailment
외국 가족이 물가의 흙길을 따라 걷고 있다.	그 가족은 물에 감탄하고 있다	entailment
외국 가족이 물가의 흙길을 따라 걷고 있다.	사람들이 고속도로에서 차를 운전하고 있다.	contradiction
외국 가족이 물가의 흙길을 따라 걷고 있다.	외국인 가족이 물속에서 수영을 한다.	contradiction
외국 가족이 물가의 흙길을 따라 걷고 있다.	그들은 물에 빠지지 않으려고 노력하고 있다	neutral
외국 가족이 물가의 흙길을 따라 걷고 있다.	한 무리의 지역 주민들이 얼어붙은 개울 옆에 있는 흙길을 달리고 있다.	contradiction
외국 가족이 물가의 흙길을 따라 걷고 있다.	외국인 가족이 물가를 걷고 있다.	entailment
외국 가족이 물가의 흙길을 따라 걷고 있다.	가족이 흙길을 따라 걷는다.	entailment
외국 가족이 물가의 흙길을 따라 걷고 있다.	한 가족이 저녁 식탁에서 보드 게임을 한다.	contradiction
외국 가족이 물가의 흙길을 따라 걷고 있다.	밖에 산책하는 가족이 있다.	entailment
외국 가족이 물가의 흙길을 따라 걷고 있다.	한 가족이 연못 옆 숲의 흙길을 걷고 있다.	neutral
외국 가족이 물가의 흙길을 따라 걷고 있다.	외국인 가족이 호수 옆을 지나간다.	neutral
한 남자와 한 여자가 조각품 옆에 서서 다른 남자가 다른 조각품을 보는 동안 이야기를 나누고 있다.	사람들은 박물관에서 조각품을 보고 있다.	entailment
한 남자와 한 여자가 조각품 옆에 서서 다른 남자가 다른 조각품을 보는 동안 이야기를 나누고 있다.	조각품 옆에 사람들이 있다.	entailment
한 남자와 한 여자가 조각품 옆에 서서 다른 남자가 다른 조각품을 보는 동안 이야기를 나누고 있다.	남자와 여자가 행복하게 서 있다.	neutral
한 남자와 한 여자가 조각품 옆에 서서 다른 남자가 다른 조각품을 보는 동안 이야기를 나누고 있다.	조각품 근처에 서 있는 사람들	entailment
한 남자와 한 여자가 조각품 옆에 서서 다른 남자가 다른 조각품을 보는 동안 이야기를 나누고 있다.	세 사람이 학교 박람회에서 그림을 보고 있다.	contradiction
한 남자와 한 여자가 조각품 옆에 서서 다른 남자가 다른 조각품을 보는 동안 이야기를 나누고 있다.	아무도 서 있지 않다.	contradiction
한 남자와 한 여자가 조각품 옆에 서서 다른 남자가 다른 조각품을 보는 동안 이야기를 나누고 있다.	그 조각품들은 최근에 만들어진 것이다.	neutral
한 남자와 한 여자가 조각품 옆에 서서 다른 남자가 다른 조각품을 보는 동안 이야기를 나누고 있다.	남자와 여자가 서 있다.	entailment
한 남자와 한 여자가 조각품 옆에 서서 다른 남자가 다른 조각품을 보는 동안 이야기를 나누고 있다.	키가 큰 사람들이 서 있다	neutral
한 남자와 한 여자가 조각품 옆에 서서 다른 남자가 다른 조각품을 보는 동안 이야기를 나누고 있다.	그것은 하나의 조각품이다.	contradiction
한 남자와 한 여자가 조각품 옆에 서서 다른 남자가 다른 조각품을 보는 동안 이야기를 나누고 있다.	남자와 여자가 수영장 옆에 서 있다.	contradiction
한 남자와 한 여자가 조각품 옆에 서서 다른 남자가 다른 조각품을 보는 동안 이야기를 나누고 있다.	사람들은 유명한 예술가가 만든 문화들을 보고 있다.	neutral
한 남자와 한 여자가 조각품 옆에 서서 다른 남자가 다른 조각품을 보는 동안 이야기를 나누고 있다.	사람들의 조각품들이 있다.	neutral
한 남자와 한 여자가 조각품 옆에 서서 다른 남자가 다른 조각품을 보는 동안 이야기를 나누고 있다.	근처에는 골칫거리가 있다.	entailment
한 남자와 한 여자가 조각품 옆에 서서 다른 남자가 다른 조각품을 보는 동안 이야기를 나누고 있다.	남자와 여자가 앉아 있다.	contradiction
드레스를 입은 젊은 여성들이 보도 위를 거닐고 있다.	모든 여자들은 옷을 잘 입는다	neutral
드레스를 입은 젊은 여성들이 보도 위를 거닐고 있다.	모든 어린 소녀들이 1등상을 받았다	contradiction
드레스를 입은 젊은 여성들이 보도 위를 거닐고 있다.	그들 중 한 명은 경사로 산책을 위해 산책하는 드레스를 입고 있다.	entailment
줄무늬 상의와 청바지를 입은 남자는 어떤 계단에서 스케이트보드 트릭을 하는 반면, 몸을 구부린 남자는 사진을 찍는다.	남자가 스케이트보드를 타는 남자 사진을 찍고 있다.	entailment
줄무늬 상의와 청바지를 입은 남자는 어떤 계단에서 스케이트보드 트릭을 하는 반면, 몸을 구부린 남자는 사진을 찍는다.	남자가 스쿠터를 혼자 타고 있다	contradiction
줄무늬 상의와 청바지를 입은 남자는 어떤 계단에서 스케이트보드 트릭을 하는 반면, 몸을 구부린 남자는 사진을 찍는다.	토니 호크스 매니저가 토니 호크 스케이트보드를 촬영하고 있다.	neutral
야외에서 짧은 계단 위 공중에서 스케이트보드 킥 플립을 하는 한 남자의 사진을 찍으며 사진의 전경에 쪼그리고 앉아 있는 한 남자.	한 남자가 외계인에게 잡혀가는 스케이트보더의 사진을 찍고 있다.	contradiction
야외에서 짧은 계단 위 공중에서 스케이트보드 킥 플립을 하는 한 남자의 사진을 찍으며 사진의 전경에 쪼그리고 앉아 있는 한 남자.	사진작가들은 버려진 건물 안에서 묘기를 부리는 수컷 스케이트보더를 포착한다.	contradiction
야외에서 짧은 계단 위 공중에서 스케이트보드 킥 플립을 하는 한 남자의 사진을 찍으며 사진의 전경에 쪼그리고 앉아 있는 한 남자.	한 여성이 남자친구와 스케이트보드를 타고 있다.	contradiction
야외에서 짧은 계단 위 공중에서 스케이트보드 킥 플립을 하는 한 남자의 사진을 찍으며 사진의 전경에 쪼그리고 앉아 있는 한 남자.	한 남자가 속임수를 쓰고 있는 스케이트보더의 사진을 찍고 있다.	entailment
야외에서 짧은 계단 위 공중에서 스케이트보드 킥 플립을 하는 한 남자의 사진을 찍으며 사진의 전경에 쪼그리고 앉아 있는 한 남자.	한 남자가 결혼식 사진을 찍는다.	contradiction
야외에서 짧은 계단 위 공중에서 스케이트보드 킥 플립을 하는 한 남자의 사진을 찍으며 사진의 전경에 쪼그리고 앉아 있는 한 남자.	한 남자가 아들이 스케이트보드에서 속임수를 쓰는 사진을 찍고 있다.	neutral
야외에서 짧은 계단 위 공중에서 스케이트보드 킥 플립을 하는 한 남자의 사진을 찍으며 사진의 전경에 쪼그리고 앉아 있는 한 남자.	한 남자가 토니 호크 스케이트보드를 찍는다.	neutral
야외에서 짧은 계단 위 공중에서 스케이트보드 킥 플립을 하는 한 남자의 사진을 찍으며 사진의 전경에 쪼그리고 앉아 있는 한 남자.	한 남자가 스케이트보드를 타는 요령의 사진을 찍고 있다.	entailment
야외에서 짧은 계단 위 공중에서 스케이트보드 킥 플립을 하는 한 남자의 사진을 찍으며 사진의 전경에 쪼그리고 앉아 있는 한 남자.	남자가 흥미진진한 스케이트보드 묘기를 부리는 동안 사람들은 야외에서 사진을 찍는다.	entailment
야외에서 짧은 계단 위 공중에서 스케이트보드 킥 플립을 하는 한 남자의 사진을 찍으며 사진의 전경에 쪼그리고 앉아 있는 한 남자.	한 남자가 다른 남자를 촬영하고 있다.	entailment
야외에서 짧은 계단 위 공중에서 스케이트보드 킥 플립을 하는 한 남자의 사진을 찍으며 사진의 전경에 쪼그리고 앉아 있는 한 남자.	한 프로 사진작가가 프로 스케이트 선수의 사진을 찍고 있다.	neutral
야외에서 짧은 계단 위 공중에서 스케이트보드 킥 플립을 하는 한 남자의 사진을 찍으며 사진의 전경에 쪼그리고 앉아 있는 한 남자.	두 남자가 물 미끄럼틀을 타고 내려가고 있다.	contradiction
야외에서 짧은 계단 위 공중에서 스케이트보드 킥 플립을 하는 한 남자의 사진을 찍으며 사진의 전경에 쪼그리고 앉아 있는 한 남자.	한 남자가 스케이트보더가 속임수를 쓰는 모습을 찍는다.	entailment
야외에서 짧은 계단 위 공중에서 스케이트보드 킥 플립을 하는 한 남자의 사진을 찍으며 사진의 전경에 쪼그리고 앉아 있는 한 남자.	한 남자가 잡지에 쓸 스케이트보더의 완벽한 사진을 얻으려고 한다.	neutral
야외에서 짧은 계단 위 공중에서 스케이트보드 킥 플립을 하는 한 남자의 사진을 찍으며 사진의 전경에 쪼그리고 앉아 있는 한 남자.	한 남성 스케이트보더가 전문 사진작가들을 위해 야외에서 묘기를 부린다.	neutral
한 폭주족은 자전거를 가지고 달리고 다른 폭주족은 자전거를 타고 돌아다닌다.	사람들이 차를 운전하고 있다	contradiction
한 폭주족은 자전거를 가지고 달리고 다른 폭주족은 자전거를 타고 돌아다닌다.	사람들은 클럽의 일원이다	neutral
한 폭주족은 자전거를 가지고 달리고 다른 폭주족은 자전거를 타고 돌아다닌다.	사람들은 자전거를 가지고 있다	entailment
자전거를 탄 두 사람, 자전거를 타고 앞을 달리는 한 사람, 뒷길로 달리는 한 사람.	쇼핑몰에서 아이스크림 콘을 먹는 두 사람.	contradiction
자전거를 탄 두 사람, 자전거를 타고 앞을 달리는 한 사람, 뒷길로 달리는 한 사람.	자전거를 타고 오솔길로 가는 두 사람.	neutral
자전거를 탄 두 사람, 자전거를 타고 앞을 달리는 한 사람, 뒷길로 달리는 한 사람.	자전거를 타고 있는 사람과 함께 자전거 옆에 달리는 한 사람.	entailment
한 젊은이가 사진을 찍으며 계단 아래 스케이트보드에서 장난을 치고 있다.	한 젊은이가 사진을 찍으며 경사로를 가로지른다.	contradiction
한 젊은이가 사진을 찍으며 계단 아래 스케이트보드에서 장난을 치고 있다.	헬멧이 없는 젊은이는 사진을 찍는 동안 스케이트보드에서 묘기를 부린다.	neutral
한 젊은이가 사진을 찍으며 계단 아래 스케이트보드에서 장난을 치고 있다.	한 남자가 계단 아래 스케이트보드에서 속임수를 쓰는 동안 사진을 찍고 있다.	entailment
검은색과 흰색 줄무늬 셔츠를 입고 꽃다발을 들고 있는 한 아가씨가 계단에서 이야기를 나누고 있는 두 신사를 진지하게 바라보고 있다.	한 여자가 남자친구에게 청혼하려고 한다.	neutral
검은색과 흰색 줄무늬 셔츠를 입고 꽃다발을 들고 있는 한 아가씨가 계단에서 이야기를 나누고 있는 두 신사를 진지하게 바라보고 있다.	심각한 얼굴을 한 아가씨가 밖에 있는 계단 앞에 두 남자와 함께 서 있다.	entailment
검은색과 흰색 줄무늬 셔츠를 입고 꽃다발을 들고 있는 한 아가씨가 계단에서 이야기를 나누고 있는 두 신사를 진지하게 바라보고 있다.	세 남자가 손에 꽃을 들고 실내에 서 있다.	contradiction
한 남자가 당당하게 길을 걷고 있다.	남자는 극장에서 아바타를 보고 있다.	contradiction
한 남자가 당당하게 길을 걷고 있다.	그 남자는 게이 자존심 퍼레이드의 일부이다.	neutral
한 남자가 당당하게 길을 걷고 있다.	남자가 밖에 있다.	entailment
네 명의 십대 소년들이 수영장에서 대포알을 하고 있다.	네 명의 친구들이 누가 수영장에서 가장 많은 물을 던지는지 보기 위해 경쟁을 하고 있다.	neutral
네 명의 십대 소년들이 수영장에서 대포알을 하고 있다.	한 무리의 젊은이들이 물을 많이 튀기고 있다.	entailment
네 명의 십대 소년들이 수영장에서 대포알을 하고 있다.	몇몇 소년들이 식당에서 피자를 먹고 있다.	contradiction
물가의 풀밭에 서 있는 세 남자가 테이블 위에 있는 무언가를 보고 있다.	세 사람은 호수 옆에 있다.	neutral
물가의 풀밭에 서 있는 세 남자가 테이블 위에 있는 무언가를 보고 있다.	세 남자가 밖에 있다.	entailment
물가의 풀밭에 서 있는 세 남자가 테이블 위에 있는 무언가를 보고 있다.	세 남자는 실내에서 푸즈볼을 하고 있다.	contradiction
한 여자가 파란 음식 바구니를 손에 들고 야외 그릴 뒤에 서 있다.	가족 요리사에서 음식이 가득 든 파란 바구니를 들고 있는 여자.	neutral
한 여자가 파란 음식 바구니를 손에 들고 야외 그릴 뒤에 서 있다.	파란 음식 바구니를 손에 들고 밖에 있는 그릴 뒤에 서 있는 여자.	entailment
한 여자가 파란 음식 바구니를 손에 들고 야외 그릴 뒤에 서 있다.	교회 밖에서 부활절 달걀이 가득 든 파란 바구니를 들고 있는 여자.	contradiction
랜드로버는 깊은 연못을 통과한다.	차가 물속에 갇힌다.	neutral
랜드로버는 깊은 연못을 통과한다.	차가 가게 안에 있다.	contradiction
랜드로버는 깊은 연못을 통과한다.	차가 물 속을 운전한다.	entailment
많은 사람들이 마당에서 휴식을 취한다.	한 무리의 사람들이 밖에 있다.	entailment
많은 사람들이 마당에서 휴식을 취한다.	한 가족은 뒷마당에서 화창한 날을 즐긴다.	neutral
많은 사람들이 마당에서 휴식을 취한다.	사람들은 거실에서 TV를 본다.	contradiction
차 한 대가 물에 잠겼다.	차가 범람하고 있다.	entailment
차 한 대가 물에 잠겼다.	차가 큰 호수에 충돌했다.	neutral
차 한 대가 물에 잠겼다.	트럭 한 대가 햇빛 아래 시골길을 운전한다.	contradiction
검은 옷을 입은 남자가 콘서트에서 일렉트릭 기타를 연주하고 있다.	남자가 기타를 치고 있다.	entailment
검은 옷을 입은 남자가 콘서트에서 일렉트릭 기타를 연주하고 있다.	남자가 기타를 치면서 노래를 부르고 있다.	neutral
검은 옷을 입은 남자가 콘서트에서 일렉트릭 기타를 연주하고 있다.	남자가 피아노를 치고 있다.	contradiction
거친 머리를 가진 남자가 기타 센터 무대를 연주하는 쇼를 돌린다.	대머리 남자가 드럼을 쳤다.	contradiction
거친 머리를 가진 남자가 기타 센터 무대를 연주하는 쇼를 돌린다.	한 남자가 기타를 들고 무대에 서 있다.	entailment
거친 머리를 가진 남자가 기타 센터 무대를 연주하는 쇼를 돌린다.	한 미친 남자가 쇼에서 연기한다.	neutral
전차에 타고 있는 여성과 어린이는 파월과 시장, 베이와 테일러라고 이름 붙여졌다.	여자가 아이를 안고 있다.	neutral
전차에 타고 있는 여성과 어린이는 파월과 시장, 베이와 테일러라고 이름 붙여졌다.	여자가 전차를 타고 있다.	entailment
전차에 타고 있는 여성과 어린이는 파월과 시장, 베이와 테일러라고 이름 붙여졌다.	여자와 아이는 지하철에 타고 있다.	contradiction
두 명의 여성 의료 전문가, 한 명의 아프리카계 미국인과 한 명의 백인이 병원에서 서류를 검토하고 있다.	월간 안전 회의에서 동료들.	neutral
두 명의 여성 의료 전문가, 한 명의 아프리카계 미국인과 한 명의 백인이 병원에서 서류를 검토하고 있다.	동료들은 퇴근해서 점심을 먹으러 가고 있다.	contradiction
두 명의 여성 의료 전문가, 한 명의 아프리카계 미국인과 한 명의 백인이 병원에서 서류를 검토하고 있다.	직장에 사람들이 있다.	entailment
두 여자가 바인더를 통해 책을 읽고 있다.	두 명의 여성이 기말고사를 위해 공부하고 있다.	neutral
두 여자가 바인더를 통해 책을 읽고 있다.	소녀들이 영화를 보고 있다.	contradiction
두 여자가 바인더를 통해 책을 읽고 있다.	어떤 여자들은 책을 읽고 있다.	entailment
멀리서 한 남자가 말과 낙서로 칠해진 벽돌담을 지나가고 있다.	한 남자가 자신이 훼손한 벽에서 걸어 나간다.	neutral
멀리서 한 남자가 말과 낙서로 칠해진 벽돌담을 지나가고 있다.	한 남자가 앉아서 벽에 걸린 낙서를 읽는다.	contradiction
멀리서 한 남자가 말과 낙서로 칠해진 벽돌담을 지나가고 있다.	벽돌 벽의 그라피티.	entailment
전차를 타고 있는 동안 난간을 잡고 있는 여자와 아이.	사람들은 아무것도 붙잡고 있지 않다.	contradiction
전차를 타고 있는 동안 난간을 잡고 있는 여자와 아이.	사람들이 난간을 잡고 있다.	entailment
전차를 타고 있는 동안 난간을 잡고 있는 여자와 아이.	사람들은 샌프란시스코의 전차에 타고 있다.	neutral
줄무늬 폴로 셔츠를 입은 남자가 가리키며 웃고 있다.	남자가 수영을 하고 있다	contradiction
줄무늬 폴로 셔츠를 입은 남자가 가리키며 웃고 있다.	남자가 밖에 있다	neutral
